,Food product,Animal Feed,Production,Distribution,Animal_Feed_Score,Production_Score,Distribution_Score
0,Wheat & Rye (Bread),0.0,1.0,0.2,0,3,3
1,Maize (Meal),0.0,0.6,0.2,0,2,3
2,Barley (Beer),0.0,0.30000000000000004,0.5,0,2,4
3,Oatmeal,0.0,1.4,0.2,0,3,3
4,Rice,0.0,3.7,0.2,0,5,3
5,Potatoes,0.0,0.2,0.1,0,1,1
6,Cassava,0.0,0.2,0.1,0,1,1
7,Cane Sugar,0.0,0.5,0.9,0,2,5
8,Beet Sugar,0.0,0.7,0.7,0,3,4
9,Other Pulses,0.0,1.1,0.5,0,3,4
10,Peas,0.0,0.7,0.1,0,3,1
11,Nuts,0.0,2.1,0.2,0,4,3
12,Groundnuts,0.0,1.7999999999999998,0.2,0,4,3
13,Soymilk,0.0,0.30000000000000004,0.2,0,2,3
14,Tofu,0.0,1.3,0.4,0,3,3
15,Soybean Oil,0.0,1.8,1.1,0,4,5
16,Palm Oil,0.0,3.4000000000000004,1.1,0,4,5
17,Sunflower Oil,0.0,2.3000000000000003,1.1,0,4,5
18,Rapeseed Oil,0.0,2.5,1.0,0,4,5
19,Olive Oil,0.0,5.0,1.4,0,5,5
20,Tomatoes,0.0,0.7,0.30000000000000004,0,3,3
21,Onions & Leeks,0.0,0.2,0.1,0,1,1
22,Root Vegetables,0.0,0.2,0.1,0,1,1
23,Brassicas,0.0,0.3,0.1,0,1,1
24,Other Vegetables,0.0,0.30000000000000004,0.2,0,2,3
25,Citrus Fruit,0.0,0.3,0.1,0,1,1
26,Bananas,0.0,0.4,0.4,0,2,3
27,Apples,0.0,0.2,0.1,0,1,1
28,Berries & Grapes,0.0,0.7,0.4,0,3,3
29,Wine,0.0,0.7,0.7999999999999999,0,3,5
30,Other Fruit,0.0,0.4,0.2,0,2,3
31,Coffee,0.0,11.0,1.7000000000000002,0,5,5
32,Dark Chocolate,0.0,3.9000000000000004,0.5,0,5,4
33,Beef (beef herd),1.9,40.699999999999996,0.5,2,5,4
34,Beef (dairy herd),2.5,16.8,0.7,5,5,4
35,Lamb & Mutton,2.4,20.6,0.8,4,5,5
36,Pig Meat,2.9,2.0,0.6,5,4,4
37,Poultry Meat,1.8,1.1,0.5,2,3,4
38,Milk,0.2,1.6,0.2,1,3,3
39,Cheese,2.3,13.799999999999999,0.30000000000000004,3,5,3
40,Eggs,2.2,1.3,0.30000000000000004,3,3,3
41,Fish (farmed),0.8,3.6,0.2,1,4,3
42,Shrimps (farmed),2.5,8.4,0.5,5,5,4
